datetime,totalValueLockedUSD,totalBorrowBalanceUSD,totalDepositBalanceUSD,borrowerStableRate,borrowerVariableRate,lenderVariableRate,market,dailyDepositUSD,dailyWithdrawUSD,inputTokenPriceUSD,blockNumber,maximumLTV,totalCollateralBalanceUSD
2023-08-11,59465498.47404829,4742962.78534253,59465498.47404829,10.24070837096974,1.2407083709697408,0.0841148789480505,Aave Ethereum rETH,221074.75512553265,426417.59040226735,1991.26759292,17894167,67.0,7079048.93334706
2023-08-10,60033257.44446326,4771633.153154026,60033257.44446326,10.236404074452032,1.2364040744520337,0.0835322644300726,Aave Ethereum rETH,24363.929014664664,0.0,2003.39290168,17884859,67.0,7121840.527095561
2023-08-09,59921823.41314998,4772168.926630504,59921823.41314998,10.238842757622932,1.238842757622933,0.0838621074469869,Aave Ethereum rETH,75244.336995286,534355.7888152794,2000.49143461,17880438,67.0,7122640.189000753
2023-08-08,60506830.354199715,3378827.5149654862,60506830.354199715,9.8686545979596,0.8686545979596011,0.0412313585768295,Aave Ethereum rETH,168200.33892720717,122659.42389239265,2004.70369888,17873599,67.0,5043026.141739532
2023-08-07,59322664.73710041,738888.8161376163,59322664.73710041,9.193750992912568,0.1937509929125676,0.0020512626535552,Aave Ethereum rETH,2359356.6625277726,26723.351512993337,1967.01757708,17865536,67.0,1102819.1285636064
2023-08-06,57385787.63784504,742857.2876290175,57385787.63784504,9.20136618479952,0.2013661847995192,0.0022156771708033,Aave Ethereum rETH,38650.49143415769,0.0,1980.63011776,17854916,67.0,1108742.220341817
2023-08-05,57284760.29214022,742047.1489865063,57284760.29214022,9.201501323667173,0.2015013236671719,0.0022186520950937,Aave Ethereum rETH,102356.2903998062,67281.46331449113,1978.47564142,17851294,67.0,1107533.0581888154
2023-08-04,57044384.387915134,739715.9998458084,57044384.387915134,9.201714734359092,0.2017147343590925,0.0022233541467166,Aave Ethereum rETH,545569.3151895511,0.0,1971.37688641,17844990,67.0,1104053.7311131468
2023-08-03,56774252.81884624,743295.8419493587,56774252.81884624,9.203655333573868,0.2036553335738691,0.0022663395423721,Aave Ethereum rETH,719665.8703075594,61459.82580441872,1980.92841672,17837771,67.0,1109396.7790288937
2023-08-02,56887062.665057726,753525.6584105483,56887062.665057726,9.206048784022212,0.2060487840222134,0.0023199226834807,Aave Ethereum rETH,0.0,413888.82336360344,2008.21078188,17825562,67.0,1124665.1618067885
2023-08-01,56904061.457420774,748330.803234303,56904061.457420774,9.204567143278782,0.2045671432787801,0.0022866787731121,Aave Ethereum rETH,1728639.136988785,2120916.9331205254,1994.37054899,17823032,67.0,1116911.6466183627
2023-07-31,57489947.15121995,710798.0689360392,57489947.15121995,9.192326810622609,0.192326810622607,0.0020212175424616,Aave Ethereum rETH,1387210.8086392863,3658610.1704335054,2001.01019266,17815971,67.0,1060892.6402030436
2023-07-30,59994009.303319514,711842.4426144072,59994009.303319514,9.184570163742364,0.1845701637423641,0.0018614715134336,Aave Ethereum rETH,82114.05232609094,176652.5559399831,2009.05083552,17808796,67.0,1062451.4068871748
2023-07-29,60640930.123934746,781638.7051403434,60640930.123934746,9.20050523292968,0.2005052329296815,0.0021967711821873,Aave Ethereum rETH,37738.88327229542,0.0,2027.49481807,17802055,67.0,1166624.9330452888
2023-07-28,60410824.343730554,778664.809302529,60410824.343730554,9.200503195879904,0.2005031958799056,0.0021967265458509,Aave Ethereum rETH,1131824.2419832202,104475.2326777404,2021.06215882,17794971,67.0,1162186.282541088
2023-07-27,59341879.9816864,778156.1938377422,59341879.9816864,9.203981602861052,0.203981602861053,0.0022736070102793,Aave Ethereum rETH,0.0,0.0,2019.7632993,17781445,67.0,1161427.1549817047
2023-07-26,59280775.4893894,776742.3077917196,59280775.4893894,9.203820849635504,0.2038208496355053,0.0022700248671998,Aave Ethereum rETH,42118.98751933288,4631.53980232304,2017.68355744,17780657,67.0,1159316.877301074
2023-07-25,58946440.473535694,851532.3109902466,58946440.473535694,9.22471340271026,0.2247134027102604,0.0027592519084702,Aave Ethereum rETH,89042.94645205456,131841.13395058445,2007.57727654,17770775,67.0,1270943.7477466366
2023-07-24,58610000.65031825,846046.9648393431,58610000.65031825,9.224547477688873,0.2245474776888739,0.0027551786320266,Aave Ethereum rETH,258689.79716910183,292.91059436534425,1994.6577695,17763336,67.0,1262756.6639393182
2023-07-23,59135126.32495423,857325.0244966475,59135126.32495423,9.225520182015407,0.2255201820154063,0.0027791003328315,Aave Ethereum rETH,2020.52204557,0.0,2021.26138285,17755178,67.0,1279589.5888009665
2023-07-22,59517772.184373274,875133.7860228022,59517772.184373274,9.228724785631346,0.228724785631346,0.0028586425775007,Aave Ethereum rETH,2048510.11542085,7554.110680082144,2034.35757523,17751131,67.0,1306169.8298847794
2023-07-21,57544655.07509358,965735.3944321612,57544655.07509358,9.26105896193964,0.2610589619396415,0.003724008066492,Aave Ethereum rETH,94966.93563413112,57149.465140628155,2036.76313024,17743713,67.0,1441396.111092778
2023-07-20,57649756.39019101,957204.541090473,57649756.39019101,9.258281160967277,0.2582811609672768,0.003645178996758,Aave Ethereum rETH,904626.9885267181,511374.4069016124,2041.83130987,17737468,67.0,1428663.494164885
2023-07-19,57470386.51926802,975953.1341660963,57470386.51926802,9.264161979371698,0.264161979371698,0.0038130633413831,Aave Ethereum rETH,928771.9307035984,10439.487628512192,2049.29763005,17728567,67.0,1456646.4689046214
2023-07-18,56528733.721784025,975520.4999664589,56528733.721784025,9.268443330344835,0.2684433303448364,0.003937663823505,Aave Ethereum rETH,36772.07628066055,401552.4093551485,2048.40907394,17719140,67.0,1456000.7462185952
2023-07-17,57067094.97797951,976576.1993645005,57067094.97797951,9.26619865174443,0.2661986517444301,0.0038720869625552,Aave Ethereum rETH,55635.69742565509,32690.55834229636,2054.65384875,17714091,67.0,1457576.416961941
2023-07-16,57844530.87394029,1023618.9510896234,57844530.87394029,9.275271659802375,0.2752716598023742,0.0041405344512943,Aave Ethereum rETH,82391.84855213486,2390.275599627262,2083.47024451,17709042,67.0,1527789.4792382438
2023-07-15,57655052.173061036,1021674.558539945,57655052.173061036,9.275651718764152,0.2756517187641522,0.0041519757567206,Aave Ethereum rETH,1765740.1004545672,144668.8513528086,2079.52781495,17702169,67.0,1524887.4008058882
2023-07-14,55934968.46568013,936736.9265704784,55934968.46568013,9.260507209477085,0.2605072094770853,0.0037082831953569,Aave Ethereum rETH,0.0,94193.1432361424,2075.65322248,17694582,67.0,1398114.8157768333
2023-07-13,57710422.54019881,946158.998505801,57710422.54019881,9.255032413658611,0.2550324136586138,0.0035540551423323,Aave Ethereum rETH,2090547.083284724,871970.8666249522,2137.17619303,17687574,67.0,1412177.6097101506
2023-07-12,53182684.7244751,791677.8943841652,53182684.7244751,9.231560126954873,0.2315601269548728,0.0029299550487463,Aave Ethereum rETH,988022.0429951369,6075933.60055167,2015.92460113,17680240,67.0,1181608.7975883062
